PQID,CMT,UNM,CAT,Year,Month,Day
92293,4,Peter Vlugter,M,2011,11,27
70656,1,Viktor Klang (√),O,2011,11,28
70664,3,Patrik Nordwall,O,2011,11,28
70671,3,Patrik Nordwall,O,2011,11,28
92356,10,Patrik Nordwall,M,2011,11,28
70652,3,Patrik Nordwall,O,2011,11,29
92191,94,Viktor Klang (√),M,2011,11,29
92260,19,Jonas Bonér,M,2011,11,29
92330,48,Roland Kuhn,M,2011,11,29
70637,2,Patrik Nordwall,O,2011,11,30
70642,1,Henrik Engstrom,O,2011,11,30
70644,3,Patrik Nordwall,O,2011,11,30
70648,6,Henrik Engstrom,O,2011,11,30
70658,4,Patrik Nordwall,O,2011,11,30
92430,7,Henrik Engstrom,M,2011,11,30
70626,2,Viktor Klang (√),O,2011,12,7
70628,2,Patrik Nordwall,O,2011,12,7
70630,6,Patrik Nordwall,O,2011,12,7
70619,2,Viktor Klang (√),O,2011,12,8
70621,2,Viktor Klang (√),O,2011,12,8
70623,2,Viktor Klang (√),O,2011,12,8
70624,2,Viktor Klang (√),O,2011,12,8
70617,3,Patrik Nordwall,O,2011,12,9
70634,4,Jonas Bonér,O,2011,12,9
70607,3,Roland Kuhn,O,2011,12,11
70604,1,Mathias,O,2011,12,12
70575,21,Viktor Klang (√),O,2011,12,13
70593,3,Patrik Nordwall,O,2011,12,13
70595,4,Patrik Nordwall,O,2011,12,13
70599,2,Viktor Klang (√),O,2011,12,13
70601,20,Viktor Klang (√),O,2011,12,13
70608,15,Roland Kuhn,O,2011,12,13
70570,1,Roland Kuhn,O,2011,12,14
70573,1,Roland Kuhn,O,2011,12,14
70577,4,Patrik Nordwall,O,2011,12,14
70580,5,Jonas Bonér,O,2011,12,14
70583,4,Patrik Nordwall,O,2011,12,14
70586,2,Peter Vlugter,O,2011,12,14
70587,5,Peter Vlugter,O,2011,12,14
70590,6,Roland Kuhn,O,2011,12,14
70541,2,Roland Kuhn,O,2011,12,15
70542,3,Henrik Engstrom,O,2011,12,15
70545,3,Patrik Nordwall,O,2011,12,15
70548,1,Viktor Klang (√),O,2011,12,15
70552,5,Henrik Engstrom,O,2011,12,15
70554,4,Roland Kuhn,O,2011,12,15
70557,1,Patrik Nordwall,O,2011,12,15
70559,2,Jonas Bonér,O,2011,12,15
70563,2,Viktor Klang (√),O,2011,12,15
70566,15,Viktor Klang (√),O,2011,12,15
92331,37,Roland Kuhn,M,2011,12,15
70536,2,Peter Vlugter,O,2011,12,18
70538,1,Roland Kuhn,O,2011,12,18
70530,1,Viktor Klang (√),O,2011,12,19
70535,2,Viktor Klang (√),O,2011,12,19
70517,2,Patrik Nordwall,O,2011,12,20
70520,4,Viktor Klang (√),O,2011,12,20
70525,5,Patrik Nordwall,O,2011,12,20
70532,4,Henrik Engstrom,O,2011,12,20
92261,28,Jonas Bonér,M,2011,12,20
70501,9,Patrik Nordwall,O,2011,12,21
70510,3,Henrik Engstrom,O,2011,12,21
70514,9,Peter Vlugter,O,2011,12,21
92294,22,Peter Vlugter,M,2011,12,21
70499,1,Henrik Engstrom,O,2011,12,22
70482,6,Roland Kuhn,O,2011,12,23
70488,1,Viktor Klang (√),O,2011,12,23
70495,3,Henrik Engstrom,O,2011,12,23
92357,56,Patrik Nordwall,M,2011,12,23
70477,2,Viktor Klang (√),O,2011,12,25
70478,3,Viktor Klang (√),O,2011,12,25
70492,2,Viktor Klang (√),O,2011,12,25
70464,2,Henrik Engstrom,O,2011,12,27
70467,5,Viktor Klang (√),O,2011,12,27
70468,1,Viktor Klang (√),O,2011,12,27
70472,2,Viktor Klang (√),O,2011,12,27
70473,1,Viktor Klang (√),O,2011,12,27
92431,18,Henrik Engstrom,M,2011,12,28
70444,8,Roland Kuhn,O,2011,12,29
70452,8,Roland Kuhn,O,2011,12,29
70440,4,Viktor Klang (√),O,2011,12,30
92192,113,Viktor Klang (√),M,2011,12,30
70417,17,Derek Williams,O,2011,12,31
70366,1,Patrik Nordwall,O,2012,1,3
70414,4,Patrik Nordwall,O,2012,1,3
70409,4,Patrik Nordwall,O,2012,1,4
70405,3,Patrik Nordwall,O,2012,1,5
92313,1,Raymond Roestenburg,M,2012,1,7
